SampleID,Location,Latitude,Longitude,Replicate,Date,Species,abb,Species_photo#,Shoot_number,Canopy_photo#,Canopyheight_1,C_note1,Canopyheight_2,C_note2,Canopyheight_3,C_note3,Canopyheight_4,C_note4,Canopyheight_5,C_note5,Canopyheight_6,C_note6,Canopyheight_7,C_note7,Canopyheight_8,C_note8,Canopyheight_9,C_note9,Canopyheight_10,C_note10,Leaf_photo#,Leaflength_1,L_note1,Leaflength_2,L_note2,Leaflength_3,L_note3,Leaflength_4,L_note4,Leaflength_5,L_note5,Leaflength_6,L_note6,Leaflength_7,L_note7,Leaflength_8,L_note8,Leaflength_9,L_note9,Leaflength_10,L_note10,Leafwidth_1,Leafwidth_2,Leafwidth_3,Leafwidth_4,Leafwidth_5,Leafwidth_6,Leafwidth_7,Leafwidth_8,Leafwidth_9,Leafwidth_10,Root_photo#,Rootlength_1,Rootlength_2,Rootlength_3,Rootlength_4,Rootlength_5,Rootlength_6,Rootlength_7,R_note7,Rootlength_8,Rootlength_9,Rootlength_10,R_note10,Rhizomediameter_1,Rhizomediameter_2,Rhizomediameter_3,Rhizomediameter_4,Rhizomediameter_5,Rhizomediameter_6,Rhizomediameter_7,Rhizomediameter_8,Rhizomediameter_9,Rhizomediameter_10,Internodelength_1,Internodelength_2,Internodelength_3,Internodelength_4,Internodelength_5,Internodelength_6,Internodelength_7,Internodelength_8,Internodelength_9,Internodelength_10,Aboveground_photo#,Aboveground_wet_mass,Aboveground_dry_mass1,Aboveground_dry_mass2,Aboveground_dry_mass3,Belowground_photo#,Belowground_wet_mass,Belowground_dry_mass1,Belowground_dry_mass2,Belowground_dry_mass3,Flower_seed,Pack,Note1,Note2,Note3,Note4,Note5
PAL1_28082022,Pallarenda,-19.18391802,146.764945,1,28/08/2022,Holudule uninervis narrow,HUN,P1312923,180,P1312924,22.08,,40.91,,19.55,,26.95,,48.63,,43.48,,30.71,,39.56,,36.17,,37.79,,P1312925,30.58,,17.31,,34.45,,25.65,,41.18,,16.32,,50.07,,33.56,,41.64,,10.9,,0.61,0.49,0.77,0.52,0.68,0.65,0.84,0.55,0.71,0.68,P1312926,41.66,61.02,36.16,64.9,22.66,39.07,76.4,,15.39,26.68,31.03,,0.72,0.68,0.61,0.47,0.44,0.62,0.77,0.51,0.67,0.55,7.78,7.61,6.7,11.74,8.42,12.34,7.97,7.13,7.53,7.11,P1312927,4302.2,191.1,189.6,189.6,P1312928,10981.6,651.9,648.8,646.7,0,yes,Leaf length and width order was check again with photo,Correctly measured with image J,,,
PAL1_28082022,Pallarenda,-19.18391802,146.764945,1,28/08/2022,Halophila ovalis,HO,P1312922,134,P1312936,16.64,,13.65,,13.21,,12.75,,15,,18.02,,16.4,,15.86,,14.75,,14.96,,P1312936,8.05,,8.54,,8.17,,6.79,,10,,9.44,,7.4,,7.42,,9.82,,9.42,,3.59,4.18,5.48,3.69,5.67,6.12,3.31,3.37,4.98,4.86,P1312936,46.53,35.31,21.76,43.33,11.83,35.22,29.54,,17.43,66.07,45.35,,0.62,0.51,0.73,0.62,0.82,0.61,0.93,0.82,0.77,0.7,27.29,15.62,21.63,11,24.95,30.61,12.07,22.54,12.64,16.46,P1312937,2882.5,98.1,96.66,96,P1312938,4282.3,150.7,150.1,148.4,0,yes,Leaf length and width order was check again with photo,Correctly measured with image J,,,
PAL1_28082022,Pallarenda,-19.18391802,146.764945,1,28/08/2022,Zostera muelleri subsp. capricorni,ZC,P1312929,3,P1312930,24.81,,16.59,c,21.4,,,,,,,,,,,,,,,,P1312932,20.02,,13.55,,29.5,,22.2,,24.18,,17.71,,19.51,,12.45,,,,,,1.6,1.18,1.6,1.59,2.16,2.12,1.75,1.75,,,P1312933,25.75,49.8,63.62,30.49,28.65,,,,,,,,2.03,1.93,,,,,,,,,12.38,8.87,,,,,,,,,P1312934,132.9,7.6,5.8,8.5,P1312935,202.8,16.7,15.8,14.7,0,yes,Leaf length and width order was check again with photo,Correctly measured with image J,,,
PAL2_28082022,Pallarenda,-19.18388701,146.76486,2,28/08/2022,Zostera muelleri subsp. capricorni,ZC,P1312939,74,P1312940,53.04,,43.58,,49.82,,38.67,,29.09,,37.34,,17.17,,55.96,,53.42,,54.4,,P1312941,40.32,,53.3,,46.44,C,36.75,,50.33,C,34.95,,46.83,,33.86,C,34.68,,20.58,,2.38,2.25,2.33,2.56,1.37,1.59,1.33,1.59,1.72,1.67,P1312942,59.07,35.72,27.22,34.04,37.35,11.56,51.49,,40.06,32.75,65.85,,0.84,0.82,0.69,0.66,1,0.9,0.92,0.48,0.51,0.55,16.07,19.37,20.87,24.36,18.82,17.89,14.09,7.85,10.51,6.12,P1312943,8175.4,544.4,552.3,548.3,P1312944,14125.2,727.5,723.8,720.1,7,yes,Leaf length and width order was check again with photo,Correctly measured with image J,,,
PAL2_28082022,Pallarenda,-19.18388701,146.76486,2,28/08/2022,Halophila ovalis,HO,P1312945,21,P1312946,19.62,,12.41,,12.55,,15.37,,9.48,,12.46,,13.02,,11.85,,10.92,,,,P1312946,10.32,,8.55,,7.57,,7.24,,6.27,,7.63,,6.83,,6.48,,5.44,,6.31,,6.47,6.93,5.9,4.54,3.76,3.64,3.84,3.62,2.88,4.32,P1312946,17.3,42.21,48.45,10.8,25.87,18.45,26.23,,40.41,15.75,20.55,,0.62,0.78,0.89,0.39,0.41,0.54,0.74,0.5,,,24.01,23.2,21.49,8.66,9.68,9.67,4.75,7.23,,,P2012947,267,17.1,17.7,15.2,P2012948,670.7,26.6,26.5,26,0,yes,W/L in order,,,,
PAL2_28082022,Pallarenda,-19.18388701,146.76486,2,28/08/2022,Holudule uninervis narrow,HUN,P2012949,113,P2012950,55.13,,38.3,,61.39,,45.21,,50.79,,34.21,,52.34,,35.22,,67.2,,35.76,,P2012951,49.6,,35.66,,46.82,,47.16,,9.82,,51.18,,20.75,,36.95,,48.19,,35.07,,0.89,0.53,0.72,0.67,0.66,0.64,0.71,0.81,0.72,0.58,P2012952,67.57,33.49,22.07,20.45,27.86,32.72,54.68,,29.61,41.23,15.14,,0.94,0.79,0.81,0.88,0.62,0.58,0.77,0.48,0.58,0.52,13.87,12.45,33.88,9.92,8.22,12.64,15.13,11.06,6,13.28,P2012953,1824,91.6,91.2,91.4,P2012954,8809.5,524.4,522.4,523.3,0,yes,W/L in order,,,,
PAL3_28082022,Pallarenda,-19.18367201,146.764783,3,28/08/2022,Halophila ovalis,HO,P2012955,55,P2012956,12.4,,11.41,,14.16,,24.31,,19.03,,14.56,,15.48,,15.83,,13.69,,19.88,,P2012956,9.69,,10.93,,8.71,,10.14,,7.87,,7.34,,8.68,,7.64,,6.35,,6.2,,5.61,5.45,4.44,5.08,3.55,3.24,4.02,3.42,2.4,2.67,P2012956,65.59,22.69,64.81,33.18,42.33,65.21,32.47,,33.8,19.22,35.29,,0.79,0.75,0.54,0.68,0.38,0.5,0.66,0.68,0.4,0.48,15.92,17.47,12.1,21.65,25.88,16.3,6.51,12.13,21.71,15.97,P2012957,892.8,39.9,37.7,38.3,P2012958,2154.7,82.8,79.8,81.3,0,yes,W/L in order,,,,
PAL3_28082022,Pallarenda,-19.18367201,146.764783,3,28/08/2022,Holudule uninervis narrow,HUN,P2012959,220,P2012960,43.3,,24.75,,40.45,,63.77,,62.3,,50.16,,55.72,,40.68,,55.17,,42.2,,P2012961,18.51,,55.94,,22.95,,34.58,,41.38,,46.95,,13.94,,39.53,,23.69,,42.07,,0.73,0.85,0.48,0.76,0.68,0.82,0.8,0.74,0.8,0.68,P2012962,53.35,35.39,44.56,23.73,35.35,40.19,97.72,,82.78,87.1,23.77,,0.68,0.78,0.51,0.49,0.77,0.51,0.45,0.6,0.74,0.61,8.92,12.96,9.36,7.22,15.92,12.34,16.61,8.66,7.67,9.25,P2012963,5485.5,272.1,271.7,271.2,P2012964,17614.8,1342.6,1335,1335.5,0,yes,W/L in order,,,,
PAL5_09202022,Pallarenda,-19.18185599,146.765599,5,09/20/2022,Holudule uninervis narrow,HUN,P2103265,287,P2103266,23.98,,34.68,,19.86,,18.15,,43.26,,25.54,,34.08,,22.26,,36.82,,35.83,,P2103267,21.94,,14.36,,33,,8.78,,21.47,,61.57,,22.76,,14.9,,8.92,,34.09,,0.77,0.73,0.7,0.79,0.71,0.72,0.77,0.8,0.83,0.67,P2103266,40.2,23.75,24.41,23.07,22.85,18.15,63.7,,45.02,41.96,19.48,,0.59,0.48,0.66,0.4,0.42,0.47,0.6,0.43,0.32,0.5,15.79,16.05,24.23,10.12,9.41,10.34,16.42,13.81,15.41,5.87,P2103268,6923.5,287.9,286.5,,P2103269,34653.7,2526.8,2526.7,,0,yes,W/L in order,,,,
PAL7_26122022,Pallarenda,-19.18400997,146.766158,7,26/12/2022,Holudule uninervis narrow,HUN,P2113291,187,P2113292,61.12,,30.13,,60.47,,75.11,,63.04,,76.71,,93.32,,55.6,,70.52,,54.37,,P2123293,58.02,,23.05,,28.08,,39.64,,58.74,,43.3,,85.63,,34.63,,44.91,,57.73,,0.55,0.68,0.62,0.72,0.66,0.42,0.78,0.57,0.57,0.71,P2113292,33.11,75.73,103.97,42.91,23.49,38.49,45.96,,35.87,15.45,77.79,,0.82,0.69,0.89,0.83,0.81,0.69,0.54,0.49,0.76,0.7,11.33,12.72,11.36,11.26,23.25,13.04,7.02,8.61,13.46,13.39,P2123299,6836.8,309,309.1,,P2123300,16171.2,1459,1453.7,,5,yes,W/L in order,"Some fruits in the sample. See P2123294, P2123296, P2123297",More droping leaves than other HUN samples,"One broken lead of HUW in sample. Maybe it's from subtidal? See: P2113289, P2113290",The original measurements for rhizome were too thin. Use ImageJ measurements. See file with picture
