ID,lat,lon,ele,time,magvar,geoidheight,name,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,-19.174854,146.826966,2.662191,2022-09-10T05:07:15Z,,,COC1_10092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-10T05:07:15Z
2,-19.17496498,146.827158,3.373938,2022-09-10T05:14:14Z,,,COC2_10092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-10T05:14:14Z
3,-19.17522599,146.827357,3.966919,2022-09-10T05:22:06Z,,,COC3SED_10092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-10T05:22:06Z
4,-19.15257398,146.865128,10.729399,2022-11-06T03:07:27Z,,,GEO1_06112022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-11-06T03:07:27Z
5,-19.15255596,146.865348,12.967748,2022-11-06T03:17:36Z,,,GEO2_06112022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-11-06T03:17:36Z
6,-19.15246099,146.865199,12.547682,2022-11-06T03:19:33Z,,,GEO3_06112022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-11-06T03:19:33Z
7,-19.15344,146.864144,0,2023-01-25T01:40:36Z,,,GEO4_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-25T01:40:36Z
8,-19.15331301,146.864074,0,2023-01-25T01:41:40Z,,,GEO5_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-25T01:41:40Z
9,-19.15291001,146.863845,0,2023-01-25T01:42:09Z,,,GEO6_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-25T01:42:09Z
10,-19.15330597,146.864059,0.015625,2023-01-25T01:43:21Z,,,GEOSED_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-25T01:43:21Z
11,-19.16253503,146.850723,4.258813,2023-01-23T19:36:55Z,,,NEL SEAG BOUDARY,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T19:36:55Z
12,-19.16230001,146.851322,4.67109,2023-01-23T19:16:59Z,,,NEL1_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T19:16:59Z
13,-19.16240696,146.85127,2.936031,2023-01-23T19:24:18Z,,,NEL2_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T19:24:18Z
14,-19.16261801,146.851365,3.457346,2023-01-23T19:29:55Z,,,NEL3_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T19:29:55Z
15,-19.18370303,146.764588,12.105986,2023-01-22T06:03:00Z,,,PAL10_22012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-22T06:03:00Z
16,-19.18300004,146.764483,11.364365,2023-01-22T06:06:43Z,,,PAL11_22012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-22T06:06:43Z
17,-19.18371996,146.763879,10.872475,2023-01-22T06:13:32Z,,,PAL12_22012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-22T06:13:32Z
18,-19.18391802,146.764945,0,2022-09-20T05:12:39Z,,,PAL1_28082022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-20T05:12:39Z
19,-19.18388701,146.76486,0,2022-09-20T05:16:28Z,,,PAL2_28082022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-20T05:16:28Z
20,-19.18367201,146.764783,0,2022-09-20T05:17:50Z,,,PAL3_28082022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-20T05:17:50Z
21,-19.18405398,146.767621,8.467201,2022-10-09T04:26:44Z,,,PAL4 SED2_09102022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-10-09T04:26:44Z
22,-19.18185599,146.765599,9.068315,2022-10-09T04:39:31Z,,,PAL5 on DFTS_09102022,"Flag, Blue",user,,,,,,,,,,,SymbolOnly,,,2022-10-09T04:39:31Z
23,-19.18316801,146.763957,7.497103,2022-10-09T04:51:13Z,,,PAL6_09102022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-10-09T04:51:13Z
24,-19.18400997,146.766158,4.632136,2022-12-25T20:23:42Z,,,PAL7_26122022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-12-25T20:23:42Z
25,-19.18380202,146.765541,4.116246,2022-12-25T20:31:24Z,,,PAL8_26122022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-12-25T20:31:24Z
26,-19.18380403,146.765311,2.828099,2022-12-25T20:39:53Z,,,PAL9 SED_26122022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-12-25T20:39:53Z
27,-19.18299098,146.764479,11.274846,2023-01-22T06:07:19Z,,,PALSED_22012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-22T06:07:19Z
28,-19.18367696,146.764752,0,2022-09-20T05:18:37Z,,,PALSED_28082022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-20T05:18:37Z
29,-19.20117402,146.778294,7.18953,2022-09-23T23:50:19Z,,,PALSUB1 HUW_24092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-23T23:50:19Z
30,-19.20107502,146.778247,6.638496,2022-09-23T23:55:07Z,,,PALSUB2 HUWN_24092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-23T23:55:07Z
31,-19.20155103,146.778329,6.355121,2022-09-23T23:58:50Z,,,PALSUB3_24092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-23T23:58:50Z
32,-19.20936297,146.780186,7.372087,2022-09-24T01:07:21Z,,,PALSUB4_24092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-24T01:07:21Z
33,-19.21127999,146.780249,6.169936,2022-09-24T02:12:15Z,,,PALSUB5_24092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-24T02:12:15Z
34,-19.21134202,146.780256,3.963981,2022-09-24T02:15:26Z,,,PALSUB6_24092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-24T02:15:26Z
35,-19.18049896,146.838667,5.18234,2023-01-23T18:39:39Z,,,PIC10_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T18:39:39Z
36,-19.18029604,146.838567,4.7937,2023-01-23T18:50:17Z,,,PIC11_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T18:50:17Z
37,-19.18040399,146.838669,1.72477,2022-09-10T06:21:08Z,,,PIC1_10092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-10T06:21:08Z
38,-19.18038203,146.838765,2.027442,2022-09-10T06:26:24Z,,,PIC2_10092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-10T06:26:24Z
39,-19.180318,146.838771,2.605696,2022-09-10T06:31:49Z,,,PIC3_10092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-10T06:31:49Z
40,-19.18040098,146.838779,4.252309,2022-09-10T06:40:30Z,,,PIC4SED_10092022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-09-10T06:40:30Z
41,-19.18026502,146.838738,14.472393,2022-11-06T04:24:37Z,,,PIC5_06112022,"Flag, Blue",user,,,,,,,,,,,SymbolOnly,,,2022-11-06T04:24:37Z
42,-19.18025002,146.838784,14.056503,2022-11-06T04:29:56Z,,,PIC6_06112022,,,,,,,,,,,,,,,,
43,-19.18029503,146.838655,12.768706,2022-11-06T04:32:01Z,,,PIC7_06112022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-11-06T04:32:01Z
44,-19.17996897,146.838989,5.806017,2023-01-23T18:26:21Z,,,PIC8_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T18:26:21Z
45,-19.18059401,146.838818,5.14071,2023-01-23T18:33:58Z,,,PIC9_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T18:33:58Z
46,-19.18051899,146.838682,3.720567,2023-01-23T18:45:49Z,,,PICSED_24012023,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-01-23T18:45:49Z
57,-19.23215797,147.004703,14.534475,2022-10-08T03:29:02Z,,,ZC081022,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-10-08T03:29:02Z
58,-22.121111,149.539444,0,8/10/2022,,,Clairview_081022,,,,,,,,,,,,,,,,
59,-25.35662,152.955296,,26/10/2023,,,Hervey Bay,,,,,,,,,,,,,,,,
60,-17.451929,140.827562,,1/11/2022,,,Karumba,,,,,,,,,,,,,,,,
61,-23.867066,151.322,,11/10/2022,,,Gladstone,,,,,,,,,,,,,,,,
62,-12.65558,141.824269,,27/10/2022,,,Weipa,,,,,,,,,,,,,,,,
